text|target_emotion|intensity|admiration|amusement|anger|annoyance|approval|caring|confusion|curiosity|desire|disappointment|disapproval|disgust|embarrassment|excitement|fear|gratitude|grief|joy|love|nervousness|optimism|pride|realization|relief|remorse|sadness|surprise|neutral|sadness|joy|love|anger|fear|surprise|
When I was a little girl about eight years old I broke the bey from a closed. Mother asked who did it. I said that it wasn't me, as I almost never lied, and my brother did it more frequently in spite my brother denieing it my mother gave him a few slaps.|7|4|0.00201|0.00785|0.02111|0.09028|0.00817|0.00164|0.00474|0.00282|0.00237|0.02339|0.01937|0.0064|0.00362|0.00154|0.00111|0.00035|0.0007|0.0015|0.00148|0.00103|0.00159|0.00104|0.02284|0.00088|0.00174|0.01489|0.00203|0.798|0.14769|0.00522|0.00128|0.82419|0.02913|0.00214|
When I entered at the University.|1|4|0.00495|0.00202|0.00166|0.00371|0.0164|0.00267|0.00617|0.00482|0.00315|0.00402|0.00254|0.00096|0.00097|0.0046|0.00097|0.00083|0.00048|0.00206|0.00178|0.00084|0.00766|0.0009|0.02129|0.00092|0.0007|0.0033|0.00368|0.93017|0.00932|0.05849|0.00383|0.54766|0.68984|0.01175|
One night I and my friends went to the cemetery. We stopped the car in front of the wall and suddenly the grave digger appeared over the wall looking like a ghost. I was already afraid and almost died.|2|3|0.01207|0.01214|0.00908|0.01331|0.03651|0.02196|0.0146|0.0085|0.00996|0.03169|0.01019|0.03693|0.01918|0.01611|0.59023|0.01749|0.00597|0.00671|0.01388|0.04102|0.02576|0.00476|0.03184|0.00565|0.01589|0.0745|0.02263|0.08584|0.00971|0.01111|0.00604|0.00811|0.98524|0.01362|
When one teacher unjustly gave me zero in a test saying that I was cribbing.|3|4|0.00361|0.00731|0.01813|0.11856|0.03129|0.00354|0.00421|0.00166|0.00484|0.16189|0.06196|0.01983|0.01425|0.00176|0.00421|0.00126|0.00208|0.00224|0.00244|0.00353|0.00385|0.00204|0.0644|0.00253|0.00672|0.07993|0.00389|0.47981|0.02109|0.02732|0.00322|0.9582|0.13162|0.0085|
When my grandmother died.|4|4|0.00503|0.00523|0.00744|0.01249|0.00888|0.00461|0.00461|0.00486|0.01016|0.0744|0.00688|0.00514|0.00645|0.01158|0.00796|0.00309|0.00298|0.0091|0.0061|0.00647|0.00509|0.00366|0.03855|0.00383|0.00857|0.3228|0.01439|0.61173|0.95314|0.00386|0.00143|0.00631|0.02188|0.00208|
I went to a restaurant with my boyfriend for dinner. There we saw a couple. the man of the couple was a negro and he hadn't manners for eat.|5|3|0.00502|0.0028|0.00269|0.00918|0.01255|0.00303|0.00282|0.00256|0.00186|0.00466|0.00429|0.0018|0.0014|0.00309|0.00073|0.00094|0.00046|0.00295|0.00347|0.00077|0.00286|0.00096|0.0141|0.00096|0.00068|0.00344|0.0016|0.94254|0.00497|0.09611|0.00789|0.78321|0.11215|0.00823|
When the teacher asked me to read my composition that was the homework I stood up and invented one because I hadn't done it. A colleague saw that in my copy book there was nothing written and he accused me and so I was called in the director's room.|6|2|0.00163|0.0024|0.02307|0.07705|0.0093|0.00301|0.00761|0.00527|0.0041|0.04625|0.01604|0.01329|0.0066|0.00157|0.00362|0.00081|0.00108|0.001|0.00172|0.00207|0.00338|0.00129|0.04338|0.0014|0.00514|0.02108|0.00531|0.72805|0.0085|0.01914|0.00401|0.98305|0.03873|0.00693|
When I took away my best friend's boyfriend.|7|2|0.0059|0.00244|0.00309|0.00671|0.00785|0.00306|0.00254|0.00331|0.00161|0.00361|0.00258|0.00151|0.00128|0.00249|0.0008|0.00081|0.00043|0.00188|0.00462|0.00074|0.00315|0.00081|0.00902|0.00077|0.0006|0.00379|0.00165|0.92602|0.014|0.02621|0.00558|0.95222|0.2234|0.00801|
When in the end of a semester I got the approval in a matter that I judged very difficult.|1|4|0.01942|0.00356|0.00245|0.02798|0.43943|0.00895|0.06711|0.01689|0.02094|0.07793|0.07583|0.00373|0.00445|0.00691|0.00545|0.00395|0.00258|0.00332|0.00325|0.00336|0.03381|0.00285|0.15292|0.00424|0.00592|0.00933|0.00812|0.12718|0.10949|0.04391|0.00073|0.13576|0.27119|0.00378|
Crossing a street of several ways the cars began to move and I thought that I was going to be trampled.|2|3|0.00304|0.00743|0.00499|0.02038|0.01693|0.00937|0.01529|0.00655|0.03522|0.07511|0.00554|0.00916|0.00903|0.00891|0.03636|0.0029|0.00338|0.00536|0.00255|0.01351|0.02718|0.00368|0.14442|0.00435|0.00766|0.05787|0.01255|0.58449|0.08908|0.00459|0.00094|0.02398|0.85791|0.00528|
I went to the school library and asked for a book, but the librarian told me that there wasn't such. However when an other colleague asked for it she gave it to him.|3|2|0.00226|0.00152|0.00134|0.00588|0.02604|0.00127|0.01237|0.00438|0.00162|0.00537|0.01053|0.00096|0.0008|0.00219|0.00067|0.00055|0.00031|0.00084|0.00099|0.00054|0.00314|0.0005|0.02675|0.00069|0.0006|0.00237|0.00281|0.88753|0.00678|0.03849|0.00578|0.91702|0.15476|0.00737|
Some colleagues decided to go out on a Saturday not inviting me to decide either the place nor the time.|4|3|0.00057|0.00166|0.00288|0.02076|0.02162|0.00494|0.037|0.00932|0.00306|0.01676|0.07885|0.00228|0.00185|0.0018|0.00129|0.00082|0.00049|0.001|0.00065|0.00109|0.00616|0.00065|0.03014|0.00134|0.00131|0.00435|0.00252|0.82625|0.00282|0.91477|0.00487|0.07574|0.02201|0.00353|
A teacher giving a test was called by a student by his first name. He (the teacher) said that he didn't give him this liberty.|5|2|0.0035|0.00209|0.00643|0.01541|0.00871|0.00352|0.00314|0.00151|0.00105|0.00511|0.03535|0.00242|0.00113|0.00146|0.00069|0.00095|0.00032|0.00119|0.00142|0.0005|0.00316|0.00062|0.00788|0.00081|0.00046|0.00286|0.00125|0.93621|0.00439|0.2345|0.00424|0.87233|0.02445|0.00432|
One day in the intimity with my girlfriend I had an ejaculation.|6|4|0.00183|0.00758|0.01585|0.05607|0.01477|0.01117|0.00942|0.00923|0.03324|0.17375|0.0092|0.0309|0.02611|0.01488|0.08087|0.0044|0.00544|0.0114|0.00885|0.03356|0.01387|0.00575|0.08343|0.00566|0.01249|0.10407|0.03716|0.25038|0.01438|0.0348|0.00338|0.72826|0.66773|0.00662|
When I answered to my mother with rudeness.|7|2|0.00419|0.01193|0.56691|0.39899|0.00855|0.01379|0.00717|0.01029|0.00552|0.02174|0.02969|0.0678|0.01655|0.00271|0.00505|0.00654|0.00283|0.00569|0.00291|0.00246|0.00923|0.00208|0.00936|0.00256|0.01521|0.01295|0.00475|0.07148|0.00859|0.01022|0.00516|0.98833|0.01787|0.00637|
The situation in which I felt happiest in my life was when I was with the person I love for the first time.|1|4|0.02366|0.0096|0.00693|0.00881|0.01434|0.01206|0.0034|0.00659|0.03491|0.02084|0.01221|0.00506|0.00692|0.00637|0.00536|0.0092|0.00287|0.03918|0.9324|0.00483|0.01489|0.0032|0.00981|0.00487|0.00524|0.03919|0.00544|0.01678|0.01298|0.98016|0.00804|0.00158|0.00246|0.00238|
Fear of thief.|2|3|0.00894|0.01066|0.02142|0.02146|0.06457|0.09198|0.01751|0.01156|0.01667|0.02091|0.01618|0.02722|0.01365|0.01284|0.46868|0.01747|0.00566|0.00584|0.0129|0.04018|0.04647|0.00548|0.02441|0.00662|0.01049|0.02587|0.01413|0.18895|0.00822|0.00749|0.00393|0.20178|0.92393|0.00494|
I feel anger when somebody forbids me to do something.|3|2|0.00742|0.00743|0.5965|0.23777|0.00894|0.03017|0.0048|0.00517|0.00843|0.02451|0.01727|0.06714|0.01755|0.00429|0.0179|0.00874|0.00371|0.00574|0.00491|0.00486|0.01663|0.00278|0.00863|0.00284|0.01858|0.0319|0.00594|0.03483|0.01948|0.01365|0.00326|0.98166|0.0094|0.00385|
I felt sad when I was despised by another person.|4|4|0.01649|0.01584|0.01579|0.01641|0.01106|0.01532|0.00713|0.00602|0.0091|0.09615|0.01884|0.01102|0.01977|0.01229|0.01162|0.01474|0.00773|0.02305|0.01366|0.01099|0.00906|0.00397|0.01473|0.00859|0.03957|0.81335|0.01157|0.05296|0.88837|0.00216|0.00242|0.15688|0.00097|0.00123|
I felt disgust of dirty.|5|2|0.00692|0.01645|0.11049|0.1419|0.00996|0.014|0.00956|0.0102|0.00431|0.05465|0.03007|0.46821|0.09948|0.00355|0.07831|0.01699|0.00694|0.00661|0.01132|0.0125|0.00822|0.00367|0.01366|0.00465|0.03349|0.07445|0.00686|0.023|0.10513|0.00421|0.00236|0.95503|0.00527|0.00291|
Shame of not doing something well.|6|2|0.00974|0.00547|0.02752|0.05726|0.01339|0.01509|0.00711|0.00472|0.00674|0.33921|0.08417|0.05264|0.08935|0.00593|0.0258|0.00798|0.00858|0.00855|0.01034|0.01932|0.00563|0.0043|0.03038|0.00815|0.0583|0.49435|0.01532|0.09583|0.01836|0.9052|0.00149|0.0185|0.00511|0.0022|
I felt guilty when I couldn't help a person.|7|2|0.00417|0.01474|0.01674|0.01872|0.01291|0.01679|0.01251|0.01343|0.00985|0.06948|0.01508|0.01615|0.05651|0.01132|0.02319|0.02043|0.01155|0.0126|0.00764|0.01511|0.00669|0.00349|0.0269|0.00732|0.4167|0.43332|0.03226|0.02556|0.99039|0.00365|0.00228|0.00281|0.00833|0.00266|
When I got through the examination for my driver licence, and when I finished I knew I had passed it.|1|3|0.00509|0.00564|0.00205|0.00857|0.07979|0.00633|0.05393|0.02135|0.04722|0.02302|0.00371|0.00258|0.0035|0.01322|0.00849|0.00255|0.00287|0.00585|0.00563|0.00569|0.06867|0.00338|0.22817|0.00373|0.0047|0.01009|0.01939|0.5546|0.00752|0.86767|0.00196|0.0487|0.03117|0.00361|
I was inside the car with my husband and we were assaulted with a gun at 10 o'clock in the evening.|2|4|0.00332|0.00678|0.0426|0.03351|0.01365|0.01436|0.00366|0.00406|0.00631|0.04362|0.00617|0.03782|0.02553|0.00561|0.10933|0.00662|0.00409|0.0043|0.00428|0.01397|0.00563|0.00261|0.01812|0.00284|0.04566|0.15786|0.01053|0.11455|0.0122|0.00762|0.00276|0.02279|0.948|0.00758|
When they changed my office to another room without my agreement.|3|3|0.00101|0.00157|0.00247|0.0137|0.07906|0.00299|0.00763|0.00176|0.00219|0.00746|0.01974|0.0012|0.00105|0.00148|0.0009|0.00052|0.00036|0.00099|0.00078|0.00062|0.004|0.00049|0.02987|0.00073|0.00089|0.00289|0.00163|0.87032|0.02194|0.02773|0.00227|0.87826|0.23599|0.00453|
I couldn't sleep, and began to remind of my childhood. We are many sisters and at that time we were spanked a lot and I don't know why I started to remind of the spanks they and I had had, their shouts when this happened.|4|4|0.00232|0.01036|0.00331|0.01573|0.01737|0.00212|0.23269|0.03795|0.0153|0.04478|0.01179|0.00359|0.00588|0.0125|0.00824|0.0015|0.00268|0.00467|0.00297|0.00715|0.01222|0.00287|0.19464|0.0034|0.00775|0.02593|0.03963|0.34299|0.01068|0.01073|0.00588|0.87141|0.13723|0.00448|
When I red a report in the magazine VESA about an Iranian telling what she had lived in the prisons in Iran. I felt disgust about that people.|5|3|0.00431|0.03394|0.13346|0.2311|0.00763|0.00451|0.01201|0.00991|0.00319|0.06719|0.04486|0.30259|0.1089|0.00312|0.02651|0.00538|0.00554|0.00536|0.00542|0.00827|0.00464|0.00288|0.02019|0.00371|0.02451|0.04823|0.0107|0.03675|0.0142|0.00716|0.00582|0.98534|0.00726|0.00519|
I made a comment that at the moment didn't fit.|6|2|0.00159|0.01762|0.01128|0.04134|0.01392|0.00165|0.01489|0.00186|0.00149|0.01927|0.29114|0.00508|0.00345|0.00184|0.00135|0.00104|0.00067|0.00216|0.0009|0.00099|0.00281|0.00082|0.02152|0.00133|0.00171|0.00771|0.00475|0.44939|0.00459|0.90926|0.00322|0.16683|0.01114|0.00406|
When my niece was 3 years old she was in the living room while we were fixing the table for a birthday party and, as every child, she couldn't stay calm. She burst a balloon. When I told her to be quiet her father pinched her. I believe if I hadn't said anything this wouldn't have happened.|7|2|0.00268|0.00154|0.00205|0.01534|0.04262|0.00465|0.01203|0.00259|0.01024|0.03606|0.02372|0.00187|0.00199|0.00193|0.0028|0.00051|0.00067|0.00083|0.00118|0.00158|0.0202|0.00098|0.08428|0.00125|0.00186|0.00832|0.00558|0.63948|0.00414|0.8361|0.00168|0.14342|0.00915|0.00168|
I was in ILHA GRANDE with a wonderful sun, with wonderful people, with a wonderful sea, with a wonderful boy.|1|3|0.9183|0.00411|0.00117|0.00257|0.04115|0.00395|0.0022|0.00369|0.00258|0.00333|0.00261|0.00106|0.00096|0.0326|0.00121|0.00834|0.00121|0.02639|0.03012|0.00067|0.0087|0.00322|0.00569|0.00217|0.00056|0.0022|0.00615|0.02816|0.00221|0.97324|0.00642|0.00531|0.00224|0.00948|
When I was looking for a job I felt a lot of fear but the fear was greater when I found it.|2|2|0.0086|0.0203|0.00829|0.01496|0.06821|0.02971|0.03643|0.01342|0.01701|0.02909|0.01221|0.03245|0.01889|0.01865|0.61559|0.01721|0.00645|0.00681|0.01099|0.05178|0.05818|0.0057|0.06676|0.00692|0.01548|0.02897|0.03212|0.09583|0.00824|0.00821|0.00205|0.05117|0.92593|0.00586|
This feeling occurred to me when my colleague entered in G.V. (University) and I didn't.|3|3|0.00258|0.0099|0.00575|0.02199|0.03012|0.00584|0.05218|0.00669|0.01694|0.27205|0.13839|0.00926|0.02742|0.01312|0.01839|0.00466|0.00654|0.01076|0.00701|0.01715|0.00901|0.00457|0.18345|0.00924|0.03398|0.24116|0.04106|0.17454|0.00339|0.21676|0.00155|0.20073|0.23573|0.00745|
When I applied for the college entrance examination to FUVEST, and I wasn't approved in the second fase.|4|3|0.00261|0.00406|0.00263|0.01439|0.05282|0.00265|0.0417|0.00595|0.0063|0.03073|0.23629|0.00245|0.00268|0.00261|0.00176|0.00171|0.00087|0.00166|0.00309|0.00146|0.00872|0.0011|0.04567|0.00213|0.00227|0.00811|0.00322|0.58105|0.00508|0.83615|0.00406|0.13763|0.05059|0.00409|
I had this feeling when I met a girl, not that she was dirty but she was to \fresh\", dump and childish."|5|2|0.00254|0.00965|0.10395|0.3353|0.00907|0.0085|0.00492|0.00296|0.0048|0.09063|0.04206|0.1682|0.03048|0.00124|0.0158|0.00256|0.00304|0.00241|0.00576|0.00555|0.00507|0.00201|0.01801|0.00236|0.00674|0.05426|0.00186|0.15926|0.99288|0.004|0.00252|0.00502|0.00494|0.00313|
I was very fat, and was ashamed of my body.|6|3|0.00869|0.02866|0.02973|0.03944|0.01434|0.01061|0.01127|0.01231|0.00595|0.08623|0.03272|0.12197|0.16507|0.00745|0.03843|0.0146|0.01163|0.00866|0.01438|0.01673|0.00516|0.00408|0.02464|0.00687|0.24589|0.3806|0.01666|0.03051|0.62323|0.00343|0.0008|0.22121|0.0237|0.00136|
When my ex-boyfriend didn't want to sleep with me anymore and I insisted. We made love but he felt very badly and I felt guilty.|7|2|0.00548|0.02848|0.02591|0.0339|0.02063|0.02479|0.01252|0.01125|0.02558|0.14037|0.02665|0.02128|0.06487|0.00792|0.02019|0.01766|0.01534|0.01368|0.0216|0.02037|0.00928|0.0045|0.03819|0.01041|0.36979|0.69245|0.00978|0.03662|0.9922|0.00368|0.00336|0.00433|0.0035|0.00286|
I felt happy when my mother borrowed me the car in order to let me go out alone for the first time.|1|2|0.01774|0.017|0.00496|0.00957|0.01852|0.02261|0.00544|0.00586|0.00835|0.01418|0.01169|0.00414|0.00605|0.05795|0.00265|0.04539|0.00321|0.69283|0.01807|0.00392|0.00876|0.0043|0.00878|0.01433|0.00456|0.03691|0.00971|0.04446|0.00309|0.99174|0.00552|0.00373|0.00206|0.00244|
I felt afraid when I smoked maryhuana for the first time in my life with a lot of friends in the middle of the street at day brake.|2|3|0.01626|0.02302|0.01395|0.01997|0.05294|0.02905|0.02066|0.01291|0.0109|0.04209|0.01491|0.06507|0.03605|0.02335|0.7265|0.02211|0.00948|0.01024|0.01844|0.07243|0.02764|0.00647|0.03774|0.00748|0.02228|0.08194|0.03018|0.06554|0.01114|0.01062|0.00651|0.00809|0.98486|0.00951|
I felt anger when I had a fight with my father, and he beated me. My mother came to help me (because I was beeing beated) and he also beated my mother.|3|4|0.00705|0.00999|0.50996|0.21524|0.00508|0.01795|0.00345|0.00411|0.00935|0.0415|0.01119|0.06019|0.02323|0.00379|0.01535|0.00795|0.00419|0.00607|0.0058|0.00536|0.01019|0.00277|0.0104|0.00279|0.03039|0.08281|0.00475|0.03219|0.01028|0.01054|0.00498|0.98862|0.01301|0.0059|
It happened when I lost two very intimate friends in a car accident.|4|4|0.00419|0.0063|0.00438|0.01015|0.05355|0.0081|0.01103|0.00397|0.01763|0.11447|0.00869|0.00483|0.00913|0.01011|0.01995|0.00241|0.00379|0.00609|0.00472|0.01071|0.00948|0.00314|0.10616|0.00415|0.0306|0.30666|0.0122|0.17965|0.82569|0.00155|0.00422|0.00541|0.10021|0.00161|
I felt disgust of my father when I knew he had a lover.|5|4|0.00635|0.02008|0.10119|0.10089|0.00951|0.00952|0.0092|0.00924|0.00513|0.06989|0.02486|0.33028|0.12187|0.00436|0.11937|0.01305|0.008|0.00685|0.01347|0.01626|0.00712|0.00375|0.01734|0.00446|0.04747|0.10945|0.01107|0.01674|0.0108|0.00665|0.0112|0.9903|0.00701|0.0056|
When my mother found out that I smoke maryhuana.|6|2|0.00139|0.00438|0.00741|0.03046|0.01107|0.00182|0.01315|0.01114|0.00217|0.01553|0.00714|0.00814|0.00386|0.0033|0.00385|0.00048|0.00083|0.00136|0.00159|0.00263|0.00256|0.00133|0.04721|0.00121|0.00225|0.00929|0.00912|0.87099|0.00861|0.0412|0.00365|0.69225|0.61135|0.0131|
I felt guilty when I \stole\" the boyfriend of a friend of mine."|7|3|0.00366|0.00903|0.02243|0.02701|0.01411|0.01746|0.01161|0.01742|0.01162|0.07959|0.01471|0.01651|0.05277|0.00872|0.01922|0.01195|0.00984|0.00976|0.00828|0.01367|0.00573|0.00344|0.0272|0.00612|0.38924|0.40401|0.01891|0.05218|0.98765|0.0034|0.00201|0.00356|0.00793|0.00203|
Always when I am well succeded.|1|4|0.00521|0.00186|0.00386|0.01643|0.06303|0.03982|0.00344|0.00175|0.009|0.08045|0.01797|0.00399|0.00438|0.00985|0.00611|0.00288|0.00179|0.01802|0.00512|0.0061|0.01143|0.00284|0.04126|0.00518|0.00304|0.06824|0.00521|0.61963|0.01132|0.95317|0.00423|0.02822|0.01678|0.00202|
When there is danger nearby.|2|3|0.00226|0.00278|0.0074|0.02535|0.04181|0.06093|0.02702|0.01943|0.00471|0.02606|0.01216|0.01338|0.00538|0.00421|0.04532|0.00223|0.00166|0.00221|0.00209|0.01129|0.01942|0.00199|0.03893|0.00369|0.00265|0.00905|0.00662|0.64107|0.00965|0.04389|0.00327|0.0916|0.93651|0.00805|
I feel anger when things don't come out as I wish.|3|3|0.00453|0.00639|0.3223|0.1974|0.01603|0.04762|0.00414|0.00298|0.03901|0.05138|0.02676|0.03164|0.01692|0.00269|0.01877|0.00582|0.00419|0.00364|0.00411|0.00494|0.03089|0.00273|0.01388|0.00332|0.03516|0.07208|0.00304|0.03565|0.00826|0.06559|0.00391|0.96543|0.00767|0.00317|
When I couldn't go for a trip with my friends in a holiday.|4|2|0.00215|0.0022|0.00162|0.00579|0.01067|0.00553|0.00655|0.00366|0.0082|0.02388|0.0098|0.00151|0.00194|0.00482|0.00135|0.00139|0.00076|0.00496|0.00331|0.00186|0.00905|0.00133|0.03235|0.00203|0.00131|0.01553|0.00345|0.85909|0.02111|0.08254|0.00374|0.53731|0.56863|0.00818|
Disgust of drunkers and of blood.|5|2|0.00394|0.00779|0.26219|0.28007|0.011|0.00852|0.00714|0.00975|0.00233|0.01456|0.03238|0.22224|0.01658|0.00213|0.01467|0.00601|0.00256|0.00284|0.00356|0.00315|0.00549|0.00219|0.00856|0.00217|0.00523|0.00799|0.00388|0.23399|0.01559|0.00602|0.00407|0.98191|0.02385|0.00569|
Shame of being reprehended.|6|1|0.00834|0.00777|0.02534|0.03702|0.00937|0.01015|0.00569|0.00693|0.00491|0.12792|0.01958|0.07669|0.08495|0.00678|0.05873|0.01248|0.00865|0.00766|0.01105|0.02057|0.00456|0.00436|0.02089|0.00651|0.06435|0.48276|0.01697|0.09745|0.1159|0.01018|0.00104|0.0599|0.53559|0.00533|
When I shout at a colleague in classroom.|7|1|0.00418|0.00747|0.08792|0.08035|0.00574|0.00435|0.00475|0.00454|0.00336|0.00566|0.00669|0.00461|0.00196|0.0072|0.00166|0.00081|0.00089|0.00521|0.00112|0.00131|0.00528|0.00172|0.01183|0.00116|0.00121|0.00382|0.0088|0.76179|0.00646|0.01925|0.00431|0.95056|0.27738|0.0114|
When there was a possibility of getting on better in professional life. I valorized very much this aspect. People showed me this possibility, not the real fact (even because until now ...)|1|2|0.03269|0.00147|0.00095|0.00793|0.32523|0.0064|0.01003|0.00336|0.0081|0.01349|0.01869|0.00093|0.00112|0.00593|0.00128|0.00232|0.00087|0.00228|0.00148|0.00094|0.03538|0.00162|0.07052|0.00172|0.00108|0.00217|0.00344|0.49542|0.00306|0.97698|0.00341|0.02193|0.00391|0.00745|
When I was curious about it and went to a spiritism session with a friend. I had already been there other times (many times when I was younger) but that day, even if I don't believe in spiritism I was terribly afraid that something would happen to me (sort of incorporation !).|2|3|0.00616|0.00476|0.00579|0.01525|0.03158|0.0279|0.06909|0.10924|0.01348|0.02329|0.01018|0.0157|0.00988|0.01837|0.2394|0.00776|0.00365|0.00391|0.00702|0.02898|0.0408|0.00414|0.03418|0.00441|0.00722|0.00898|0.08631|0.10488|0.00662|0.01116|0.0059|0.00637|0.98142|0.01761|
When they denied a job to a person that I propsed giving political reasons that has nothing to do directly with the professional level.|3|3|0.0035|0.00298|0.00991|0.0586|0.03112|0.0031|0.01141|0.00263|0.00202|0.01781|0.24584|0.00364|0.00194|0.00143|0.00088|0.00101|0.0006|0.001|0.00067|0.00058|0.00499|0.00075|0.01983|0.00116|0.00097|0.00292|0.00179|0.70735|0.01965|0.03868|0.0041|0.96706|0.04669|0.0049|
During an informal talk with a friend when we talk about the life of another person, a common friend, that is in a situation of not being able to assume certain problems that he decided to solve, that is, she herself suggested the problems and decided to solve them but didn't get it until the moment.|4|2|0.00226|0.00268|0.00217|0.0098|0.01559|0.00467|0.00485|0.00206|0.00162|0.00441|0.01061|0.00151|0.00093|0.00182|0.00075|0.00085|0.00031|0.00165|0.00117|0.00062|0.00445|0.0006|0.01432|0.00088|0.00054|0.00242|0.00116|0.94762|0.00217|0.43481|0.00548|0.28901|0.0956|0.00675|
When my friends and I were camping in a weekend, and with little food, we met a middle age couple from a small town that invited us to eat in their house. Their house was small, badly built with old and dirty forniture and utensils. The problem was with pans, and dishes, and even the food.|5|3|0.00248|0.0023|0.0049|0.0392|0.01314|0.00894|0.00408|0.00414|0.00392|0.05982|0.00866|0.01344|0.00649|0.00297|0.00615|0.00152|0.00126|0.00372|0.00401|0.00446|0.00311|0.00177|0.03193|0.00233|0.00404|0.03908|0.00344|0.70626|0.03835|0.00991|0.00139|0.58418|0.31714|0.0036|
When I went to meet the family of my boyfriend in a party in his house. His mother was eager to know me and all his friends ready to make jokes about the situation.|6|2|0.02639|0.027|0.00367|0.01155|0.01695|0.01133|0.00629|0.02355|0.01056|0.00687|0.00366|0.00255|0.00317|0.13963|0.00141|0.00931|0.00239|0.35692|0.01459|0.00324|0.00751|0.00536|0.01264|0.00653|0.00152|0.00669|0.01093|0.32819|0.00113|0.95375|0.00359|0.01097|0.01657|0.00468|
When I met another person I began to go out with him, and my boyfriend (with marriage accorded) met us together he did a great scandal, he broke the engagement and I began to go out with the other, and it didn't work because my mind was all mixed up.|7|3|0.01021|0.00324|0.00569|0.03684|0.02366|0.00326|0.00776|0.00197|0.00709|0.19105|0.09406|0.00694|0.00779|0.00371|0.00275|0.00088|0.00173|0.00338|0.00704|0.00309|0.0061|0.00234|0.06644|0.00265|0.00354|0.04693|0.00583|0.44508|0.56483|0.00589|0.00077|0.26653|0.01583|0.00125|
When I got a wedding ring of diamond from the boy I loved.|1|4|0.04859|0.00653|0.00503|0.0066|0.02373|0.01137|0.00267|0.00771|0.02772|0.01156|0.00629|0.00321|0.00396|0.0073|0.00313|0.00472|0.00206|0.0234|0.9317|0.00333|0.01146|0.00301|0.0093|0.00343|0.00308|0.01456|0.00467|0.04786|0.00702|0.03672|0.84463|0.04084|0.00644|0.00427|
Afraid of getting alone without friends, without anybody.|2|3|0.01742|0.0098|0.01791|0.02312|0.07421|0.0805|0.01284|0.00841|0.01147|0.0293|0.017|0.04547|0.01669|0.01517|0.58457|0.01859|0.00633|0.00896|0.01905|0.04847|0.04092|0.00547|0.02206|0.00685|0.00936|0.0377|0.01353|0.08041|0.01015|0.00731|0.00392|0.03447|0.97277|0.00593|
When they stole my dark blue tennis.|3|4|0.01122|0.00313|0.00267|0.00662|0.01187|0.00241|0.00418|0.0063|0.00343|0.00852|0.00278|0.00235|0.00243|0.00781|0.00218|0.00119|0.00093|0.00372|0.00578|0.00173|0.00422|0.00188|0.02481|0.00151|0.00111|0.00818|0.00648|0.92669|0.00397|0.0785|0.00507|0.74714|0.33392|0.00813|
When I became conscious that men don't wnat anything they don't have a goal. They have: sex, but this isn't important.|4|2|0.00204|0.00227|0.006|0.02549|0.01823|0.00415|0.00838|0.00144|0.00177|0.02109|0.22118|0.00318|0.00226|0.00156|0.00114|0.0009|0.00051|0.00205|0.00296|0.00095|0.00338|0.00075|0.01679|0.00142|0.00096|0.00808|0.00162|0.74392|0.00288|0.97664|0.00388|0.02744|0.00382|0.00328|
When I went in a clinical hospital and saw in what conditions people are attended there.|5|3|0.00278|0.00173|0.00258|0.00909|0.02949|0.00907|0.02074|0.02442|0.00692|0.01149|0.00218|0.00194|0.00155|0.00703|0.00347|0.00115|0.00103|0.00284|0.00158|0.00265|0.01052|0.0016|0.05642|0.00201|0.00175|0.00998|0.00792|0.81693|0.00396|0.358|0.00436|0.31483|0.35386|0.00982|
In the last day of carnaval I met a boy and began to flirt with him. I was in love with him. When he introduced me to his friends I died of shame because I was with them before, I met my boyfriend in carnaval.|6|3|0.01152|0.02048|0.01665|0.07808|0.02553|0.00497|0.00688|0.00568|0.02064|0.2084|0.01673|0.04153|0.06058|0.00513|0.0279|0.00217|0.00633|0.0074|0.14276|0.01847|0.00495|0.00593|0.08233|0.00468|0.01952|0.17911|0.00653|0.14406|0.01654|0.00323|0.02108|0.42505|0.28422|0.00273|
When I didn't pass the examinations for FUVEST I felt myself guilty for I should have studied. I had the opportunities, and I drew them out.|7|3|0.00607|0.01315|0.02701|0.03196|0.02539|0.02711|0.01222|0.01523|0.01572|0.07278|0.02198|0.02197|0.05658|0.01037|0.0225|0.02351|0.01435|0.00976|0.00928|0.01482|0.00755|0.00425|0.03755|0.00861|0.56573|0.43745|0.01502|0.0698|0.99099|0.0041|0.00247|0.00437|0.00375|0.00271|
When I met again a great friend and talked a little while with him. When I see again another I miss.|1|4|0.05432|0.00306|0.00688|0.01767|0.02296|0.01048|0.00497|0.00455|0.04213|0.25182|0.01189|0.00432|0.00864|0.01596|0.00941|0.0031|0.00561|0.01289|0.02265|0.00843|0.02093|0.0072|0.0615|0.00541|0.01146|0.38423|0.01245|0.11828|0.95148|0.00669|0.00176|0.01121|0.02508|0.00198|
I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going.|2|4|0.02264|0.01904|0.01479|0.02754|0.08096|0.03473|0.02308|0.01261|0.01141|0.03666|0.01886|0.0823|0.02857|0.01728|0.7224|0.01885|0.00774|0.00621|0.02008|0.05412|0.04185|0.00676|0.03646|0.00674|0.01271|0.0288|0.0187|0.07796|0.00963|0.01102|0.00743|0.00666|0.98202|0.00891|
